date,sku_location,units,promo,temp_c
2024-01-01,SKU_A|STORE_1,32,0,10.002460306714966
2024-01-02,SKU_A|STORE_1,42,0,10.804051348886956
2024-01-03,SKU_A|STORE_1,45,0,9.864783628748512
2024-01-04,SKU_A|STORE_1,45,0,8.838252329164497
2024-01-05,SKU_A|STORE_1,33,0,9.916287551284393
2024-01-06,SKU_A|STORE_1,31,0,9.048284474856434
2024-01-07,SKU_A|STORE_1,27,0,11.357507574564096
2024-01-08,SKU_A|STORE_1,30,0,14.1229270299013
2024-01-09,SKU_A|STORE_1,90,1,10.662932228256519
2024-01-10,SKU_A|STORE_1,43,0,10.610756048331494
2024-01-11,SKU_A|STORE_1,49,0,13.035201830548129
2024-01-12,SKU_A|STORE_1,34,0,12.972494534439052
2024-01-13,SKU_A|STORE_1,42,1,12.672082496419227
2024-01-14,SKU_A|STORE_1,25,0,10.802122066633576
2024-01-15,SKU_A|STORE_1,32,0,12.805569547144854
2024-01-16,SKU_A|STORE_1,62,0,14.45484593031082
2024-01-17,SKU_A|STORE_1,47,0,10.575068795839101
2024-01-18,SKU_A|STORE_1,52,0,12.546557672486871
2024-01-19,SKU_A|STORE_1,36,0,9.85660921627378
2024-01-20,SKU_A|STORE_1,22,0,11.27616046073842
2024-01-21,SKU_A|STORE_1,38,0,10.366804719545895
2024-01-22,SKU_A|STORE_1,43,0,13.773931203967097
2024-01-23,SKU_A|STORE_1,59,0,11.901801551800672
2024-01-24,SKU_A|STORE_1,44,0,15.170489592566689
2024-01-25,SKU_A|STORE_1,55,0,15.131358043720125
2024-01-26,SKU_A|STORE_1,37,0,14.632461342087893
2024-01-27,SKU_A|STORE_1,37,0,10.159787688964148
2024-01-28,SKU_A|STORE_1,31,0,14.301366309191653
2024-01-29,SKU_A|STORE_1,37,0,15.465601360032068
2024-01-30,SKU_A|STORE_1,52,0,15.971424053396076
2024-01-31,SKU_A|STORE_1,63,0,12.865035070908938
2024-02-01,SKU_A|STORE_1,48,0,15.148544774157392
2024-02-02,SKU_A|STORE_1,39,0,14.323949132273325
2024-02-03,SKU_A|STORE_1,33,0,14.838387579608396
2024-02-04,SKU_A|STORE_1,35,0,18.751021004783592
2024-02-05,SKU_A|STORE_1,58,0,15.185351724829617
2024-02-06,SKU_A|STORE_1,44,0,16.904559871554568
2024-02-07,SKU_A|STORE_1,65,0,18.905499978295506
2024-02-08,SKU_A|STORE_1,53,0,16.13452157589491
